,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_mean,NDVI_stdDev,NDVI_min,NDVI_max,EVI_p25,EVI_p50,EVI_p75,EVI_mean,EVI_stdDev,EVI_min,EVI_max,SAR_mean,SAR_stdDev,SAR_p25,SAR_p50,SAR_p75,SAR_min,SAR_max,NBR_mean,NBR_stdDev,NBR_p25,NBR_p50,NBR_p75,NBR_min,NBR_max,Event
1965,-12.26115902,-16.52308329,-16.49393082,-16.02984114,-5.294807361,-0.002538754,-33.3957793,-27.69802649,-27.65882321,-27.61964105,-26.636437,-363.7641967,21700.05382,-214.4174506,0.026088528,0.199761504,0,0,0,0,2,-19.04731191,-9.503860379,-12.61516059,-16.08923679,-16.06002821,10.3528248,-46.07357791,1
1966,-10.61128258,-14.47650397,-14.42948775,-15.55225513,-7.438647387,-2.403827311,-57.54574447,-35.74148728,-35.68618999,-35.61963744,-43.13327943,-119.4948287,791.659592,-5364.852847,0.221204038,0.535649111,0,0,0,0,2,-6.870623183,-6.642476594,-1.780545763,-6.451603414,-6.400851436,7.706378233,-45.38242073,1
1967,-7.598464034,-12.85241197,-12.82514038,-12.27945301,-5.645100152,-1.857588884,-36.71781344,-22.47475957,-27.10179213,-27.06669905,-29.09705431,-10.87235118,-10.15095862,-235.0392831,0.019491223,0.17916374,0,0,0,0,2,-15.29373776,-5.115629652,-11.9426325,-14.65710441,-14.62009501,-2.191779184,-41.43442915,1
1968,-44.7967525,-53.2531381,-53.13595637,-53.45901068,-11.38336958,-23.00617913,-80.31508702,-102.706314,-130.3740185,-130.0018906,-132.4613757,-34.38019153,-66.77933869,-263.2192581,0.068983825,0.34072891,0,0,0,0,2,-33.90742994,-13.10715349,-25.01396288,-34.24355215,-34.04450796,8.969827457,-64.08034088,1
1969,-21.04988306,-23.78268724,-23.75547951,-23.77963066,-5.227767834,-3.960138208,-53.73897017,-35.9980476,-41.43491902,-41.3805026,-42.35411332,-11.00819281,-9.184893586,-131.1823939,0.165653254,0.489188449,0,0,0,0,2,-5.926180805,-6.751521979,-1.406672982,-4.472763734,-4.443399962,12.69303822,-43.43568534,1
1970,-10.75436249,-11.92595204,-11.92006419,-12.59420727,-2.832853622,-7.582023942,-38.2400798,-18.90881245,-21.18651008,-21.13572035,-22.51777005,-5.635565637,-13.79458879,-76.31067429,0.701480373,0.938259661,0,0,2,0,2,-8.559543771,-2.706174233,-6.85536011,-8.012767507,-8.001555483,-2.12361794,-31.15199721,1
1971,-16.69182867,-18.32571398,-18.29836168,-18.68141756,-2.841412342,-9.096457314,-30.54334661,-23.89508285,-26.03459408,-25.9993397,-26.64408684,-4.183433222,-15.19328241,-46.33802725,0.023669957,0.190720808,0,0,0,0,2,-11.35177923,-5.469909436,-9.127413349,-11.43963976,-11.41044725,13.62522021,-39.85522379,1
1972,-9.961264648,-12.0631206,-12.01618496,-13.86738384,-5.836036037,-1.13427003,-42.93968102,-18.92871832,-22.76602961,-22.67166571,-26.9837424,-12.63091326,-3.312787178,-110.5609562,0.10156053,0.398781452,0,0,0,0,2,-12.12715869,-6.115489339,-9.080936883,-10.9833371,-10.92846259,36.01903557,-41.32682882,1
1973,-16.35897692,-19.24988785,-19.22259818,-18.9756576,-4.366563766,-6.072667945,-44.54353635,-24.97727893,-28.44995912,-28.41500584,-28.57476492,-6.285336055,-10.97672747,-72.27205574,0.010466842,0.135588829,0,0,0,0,2,-13.49922645,-6.030480195,-9.873049497,-13.35478059,-13.31583246,15.28032775,-46.37882521,1
1974,-13.33179906,-16.43355043,-16.40620529,-17.1067593,-5.679066765,-5.718016903,-41.37748863,539.8618865,-424.3627352,-424.3627352,109.5014262,-12059.47407,407403.3333,-368313.3333,0.501560715,0.499984741,0,1,1,0,1,-12.03514343,-6.467778356,-7.55085251,-11.0358185,-10.98516992,6.110979113,-43.5042899,1
1975,-6.266139741,-8.884518443,-8.782298554,-9.406413581,-4.912568496,0.773274238,-32.08880281,294.1214772,294.1214772,294.1214772,-1.225514719,-8593.887026,139553.3333,-409751.0714,0.284113034,0.453314632,0,0,1,0,2,-15.78081363,-6.63884494,-11.0115915,-14.50069708,-14.45804528,1.12506052,-42.52589063,1
1976,-8.617729721,-11.89484132,-11.83663955,-13.07364991,-5.468587591,1.323950415,-46.15818813,-16.66114344,-22.09482575,-21.98509009,-25.01328053,-11.17941304,5.202966281,-138.116076,0.191044566,0.510494736,0,0,0,0,2,-8.812617849,-4.997654476,-5.553775334,-8.255234075,-8.212491625,10.4082257,-37.26416309,1
1977,-16.34400252,-18.65166144,-18.61858567,-19.29978603,-4.464703541,-4.59784053,-36.75113463,-22.62251176,-25.71588744,-25.67272261,-26.84597181,-6.335036326,-6.838917582,-56.71419307,0.01166022,0.127990363,0,0,0,0,2,-6.904996244,-8.661224189,-1.658725363,-6.696183967,-6.641338375,14.55304757,-34.76110517,1
1978,-51.32148935,-55.19294521,-55.17357272,-56.97262363,-8.709787768,-23.80499965,-78.32889295,-119.5538301,-126.3539173,-126.3539173,-137.4392139,13.58350799,-2066.358308,328.9790408,0.084707116,0.346447896,0,0,0,0,2,-32.71526277,-11.08313714,-24.33197729,-29.7655663,-29.73840496,-6.193305152,-62.90073646,1
